Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Sadar, CV","Jl. Sopping Center Fatululi, Kupang, Nusa Tenggara Timur",0380826322,,"Oth Parts Of Footwear Of Oth Materials Not For Gai,Oth Disposible Sanitary Towel, Tampons, Napkins,Mens/boys Trousers, Breeches&shorts Of Oth","Oth parts of footwear of oth materials not for gai,Oth Disposible Sanitary Towel, Tampons, Napkins,Mens/boys Trousers, Breeches&shorts Of Oth"
"Sarana Lombok Utama, PT","Komplek Pelabuhan Tenau - Alak, Kupang, Nusa Tenggara Timur",,,Asphalites And Asphaltic Rocks,Asphalites and asphaltic rocks
"Scent Indonesia, PT","Desa Supul Taubneno Kota Soe Timor Tengah Selatan, Timor Tengah Selatan, Nusa Tenggara Timur",038881248,,"Oth Essential Oil Of Lemon Grass, Citronella, Nutm","Oth essential oil of lemon grass, citronella, nutm"
"Scuddeto Motor, Tk.","Jl. Betun Malaka Tengah, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Frame And Forks(incl. Telescopic Fork, Rear,Tamping Machines","Other hydraulic cements,Frame And Forks(incl. Telescopic Fork, Rear,Tamping Machines"
"Senyuman, Ud.","Jl. P. Tendean Pasar Baru, Atambua, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Other Hydraulic Cements,Sparkling Mineral Waters And Aerated Waters,","Mineral waters,Other Hydraulic Cements,Sparkling Mineral Waters And Aerated Waters,"
"Serafim, CV","Tini Rt/rw 04/02 Rinbes Atambua, Belu, Nusa Tenggara Timur",,,Complete Feed  Of A Kind Suitable For Prawns,Complete feed  of a kind suitable for prawns
"Siknapan, Ks.","Desa Napan Kec Bikomi Utara Ttu, Timor Tengah Utara, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Waffles And Wafers","Females blouses/shirts/shirt blouses of oth texti,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Waffles And Wafers"
"Sinar Bone, Ud.","Jl. El Tari - Kefamenanu, Belu, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc, Not Ckd, 4 Wd, Diesel,Other Hydraulic Cements,Mineral Waters","Other motor cars, > 3000 cc, not ckd, 4 WD, diesel,Other Hydraulic Cements,Mineral Waters"
"Sinar Gemilang, Po.","Jl. Timor Raya No. 1 Kelurahan Fatubesi,kecamatan Kelapa Lima, Belu, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4 Wd,","Other motor cars, > 3000 cc,not ckd,oth than 4 WD,"
"Sinar Hari Esok, CV","Jl. Jalur 40 Rt 13 / 04 Kel. Sikumana Kupang - Ntt, Kupang, Nusa Tenggara Timur",,,"Fish,not Marine Fish,dried,oth Thn Edble Fish Offa,Anchovies, Salted But Not Dried/smoked & In,Garlic,oth Than Bulbs For Propagation,","Fish,not marine fish,dried,oth thn edble fish offa,Anchovies, Salted But Not Dried/smoked & In,Garlic,oth Than Bulbs For Propagation,"
"Sinar Kasih, Tk.","Jl. Timor Raya Km 26 Rt 14/05, Bebau, Kupang, Nusa Tenggara Timur",,,"Milk&cream Of Fat_1,5%,in Solid Form, No Added Sug,Waffles And Wafers,Oth Sauces And Preparations Therefor; Mustard","Milk&cream of fat_1,5%,in solid form, no added sug,Waffles And Wafers,Oth Sauces And Preparations Therefor; Mustard"
"Sinar Kasih, Tk.","Jl. Timor Raya Km. 26 Rt 14/05 Babau Kupang, Kupang, Nusa Tenggara Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c,Oth Mixed Condiments And Mixed Seasonings,,Oth Than Anti-acne Creams And Oth Face Or Skin","Oth sugar confectionery,not cont.cocoa, oth soft,c,Oth Mixed Condiments And Mixed Seasonings,,Oth Than Anti-acne Creams And Oth Face Or Skin"
"Star Motor, Tk.","Jl. Johar Oetete, Timor Tengah Utara, Nusa Tenggara Timur",,,"Bumper And Parts For Other Tractors,New Pneumatic Tyres,of Rubber Of A Kind Used On,Buckets, Shovels, Grabs And Grips,of Machine","Bumper and parts for other tractors,New Pneumatic Tyres,of Rubber Of A Kind Used On,Buckets, Shovels, Grabs And Grips,of Machine"
"Sumber Berlian, Ud.","Jl. Pramuka Rt. 017/06 Beirafu, Atambua, Belu, Nusa Tenggara Timur",,,"Mach With A 360,revolving Super Struct, Mech Shove,Other Hydraulic Cements,Mineral Waters","Mach with a 360,revolving super struct, mech shove,Other Hydraulic Cements,Mineral Waters"
"Sumber Berlian, Ud.","Jl. Pramuka Rt 17/ 06 Beirafu Atambua Belu, Belu, Nusa Tenggara Timur",,,"Coal/rock Cutters And Tunneling Machine  , Self-pr","Coal/rock cutters and tunneling machine  , self-pr"
"Sumber Indah, CV","Tanah Merah Atambua Belu, Belu, Nusa Tenggara Timur",,,"Motorcycles Of Cylinder Capacity > 250 Cc, Ckd","Motorcycles of cylinder capacity > 250 cc, ckd"
"Sumber Jaya, CV","Kampung Baru - Beirafu - Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Zinc Alloys,Concrete/mortar Mixers, Not Electrically Operated","Other hydraulic cements,Zinc Alloys,Concrete/mortar Mixers, Not Electrically Operated"
"Sumber Jaya, CV","Kamp Baru - Beirafu Atambua - Belu, Belu, Nusa Tenggara Timur",,,"Bumper And Parts For Other Tractors,Other Parts,acces For Other Vehicles Of Heading,Oth Lead-acid Accumulator Of A Kind Used A Height","Bumper and parts for other tractors,Other Parts,acces For Other Vehicles Of Heading,Oth Lead-acid Accumulator Of A Kind Used A Height"
