Company Name,Deskripsi,Address,Telephone Number,Location
7130. TK Baitur Rahman,,Kompl Polri 3 RT 009/08 Jakarta,( 021 ) 8718459,Tk dan kelompok bermain
7131. TK Baitul Rohim,,Jl Kp Pulo 49 RT 002/04 Jakarta,( 021 ) 8002390,Tk dan kelompok bermain
7132. TK Baitul Mall,,Jl Raya Ceger Kompl Masjid Baitul Mall Jakarta,( 021 ) 7359117,Tk dan kelompok bermain
7133. TK Bahagia,,Jl Pluit Slt I 1 RT 006/01 Jakarta,( 021 ) 6685319,Tk dan kelompok bermain
7134. TK Bachtera Trisna,,Kompl Ditjen Bea Cukai RT 001/02 Jakarta,( 021 ) 78841878,Tk dan kelompok bermain
7135. TK Baburridho,,Jl Baru 52 RT 015/07 Jakarta,( 021 ) 4418163,Tk dan kelompok bermain
7136. TK Azzahro,,Jl H Joko VI 49 Jakarta,( 021 ) 7868362,Tk dan kelompok bermain
7137. TK Azaitun,,Jl Natera Raya Kompl Bulog 8 Jakarta,( 021 ) 8449137,Tk dan kelompok bermain
7138. TK Ayah Bunda,,Jl Muara Bahari 34 RT 006/01 Jakarta,( 021 ) 65832473,Tk dan kelompok bermain
7139. TK Aulia,,Jl Rawa Papan 21-B RT 007/06 Jakarta,( 021 ) 73885229,Tk dan kelompok bermain
7140. TK Attayyibah,,Jl Musdalifah Kompl Qoriyah Thoyyibah Bl B Jakarta,( 021 ) 5847253,Tk dan kelompok bermain
7141. TK Attaufiqiyah,,Jl Soleh II 36-B Jakarta,( 021 ) 53671591,Tk dan kelompok bermain
7142. TK AtTaqwa,,Jl Dukuh Tmr 59 RT 001/15 Jakarta,( 021 ) 4401550,Tk dan kelompok bermain
7143. TK Atikan,,Jl Melati V 18 Jakarta,( 021 ) 5454087,Tk dan kelompok bermain
7144. TK At-Taufiq,,Jl Cempaka Putih Tmr 6 Jakarta,( 021 ) 4241150,Tk dan kelompok bermain
7145. TK At-Taqwa,,Jl Rajawali Slt VI 18 RT 002/02 Jakarta,( 021 ) 6406337,Tk dan kelompok bermain
7146. TK At Taufiq,,Jl Raya Gempol 11 RT 007/02 Jakarta,( 021 ) 8441235,Tk dan kelompok bermain
7147. TK At Taubah,,Jl Mangga 12 RT 001/13 Jakarta,( 021 ) 43933705,Tk dan kelompok bermain
7148. TK At Taqwa,,Jl Kp Baru II 25-A RT 010/02 Jakarta,( 021 ) 5864251,Tk dan kelompok bermain
